Timestamp,Temp_C,Lat,Lon,Alt_m,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
13457,25.97477,7.8743,80.7718,6,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
14581,25.99366,7.8744,80.7718,6.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
15705,26,7.8745,80.7718,7,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
16829,25.99372,7.8746,80.7718,7.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
17953,25.97491,7.8747,80.7718,8,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
19077,25.94378,7.8748,80.7718,8.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
20201,25.90075,7.8749,80.7718,9,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
21325,25.84635,7.875,80.7718,9.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
22449,25.78127,7.8751,80.7718,10,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
23573,25.70633,7.8752,80.7718,10.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
24697,25.62247,7.8753,80.7718,11,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
25821,25.53076,7.8754,80.7718,11.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
26945,25.43235,7.8755,80.7718,12,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
28069,25.32848,7.8756,80.7718,12.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
29193,25.22047,7.8757,80.7718,13,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
30317,25.10967,7.8758,80.7718,13.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
31441,24.99749,7.8759,80.7718,14,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
32565,24.88535,7.876,80.7718,14.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
33689,24.77464,7.8761,80.7718,15,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
34813,24.66679,7.8762,80.7718,15.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
35937,24.56314,7.8763,80.7718,16,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
37061,24.465,7.8764,80.7718,16.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
38185,24.37362,7.8765,80.7718,17,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
39309,24.29013,7.8766,80.7718,17.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
40433,24.21561,7.8767,80.7718,18,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
41557,24.15099,7.8768,80.7718,18.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
42681,24.09708,7.8769,80.7718,19,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
43805,24.05457,7.877,80.7718,19.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
44929,24.02399,7.8771,80.7718,20,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
46053,24.00573,7.8772,80.7718,20.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
47177,24.00001,7.8773,80.7718,21,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
51673,24.1017,7.8777,80.7718,23,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
52797,24.15665,7.8778,80.7718,23.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
53921,24.22225,7.8779,80.7718,24,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
55045,24.29766,7.878,80.7718,24.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
56169,24.38193,7.8781,80.7718,25,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
57293,24.474,7.8782,80.7718,25.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
58417,24.57272,7.8783,80.7718,26,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
59541,24.67682,7.8784,80.7718,26.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
60665,24.78501,7.8785,80.7718,27,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
61789,24.8959,7.8786,80.7718,27.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
62913,25.00811,7.8787,80.7718,28,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
64037,25.12022,7.8788,80.7718,28.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
65161,25.23081,7.8789,80.7718,29,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
66285,25.33849,7.879,80.7718,29.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
67409,25.4419,7.8791,80.7718,30,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
68533,25.53973,7.8792,80.7718,30.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
69657,25.63075,7.8793,80.7718,31,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
70781,25.7138,7.8794,80.7718,31.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
71905,25.78785,7.8795,80.7718,32,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
73029,25.85196,7.8796,80.7718,32.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
74153,25.90531,7.8797,80.7718,33,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
75277,25.94724,7.8798,80.7718,33.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
76401,25.97721,7.8799,80.7718,34,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
77525,25.99486,7.88,80.7718,34.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
78649,25.99994,7.8801,80.7718,35,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
79773,25.99241,7.8802,80.7718,35.5,0.12,0.05,9.81,0.01,0,-0.01,15,22.5,40.2
